,Bai,Dai,Han,Hani,Miao,Zang
Diet,0.321755107,0.267138783,0.382492794,0.347841827,0.368133446,0.363175016
Urbanisation,0.29382556,0.234800333,0.374615955,0.2986239,0.305301898,0.272631308
Condition,0.130474772,0.104406833,0.174673127,0.149561183,0.163493936,0.121524741
Residency,0.019852045,0.014167531,0.036323772,0.029452775,0.048055951,0.026427439
Medication,0.019585941,0.013301652,0.020429626,0.023193903,0.040785752,0.026330194
Age,0.013883022,0.010713939,0.016833536,0.015687021,0.022332519,0.010292625
Sex,0.009591153,0.010396116,0.014182459,0.011494618,0.021995401,0.008684876
BMI,0.00929151,0.00878331,0.010732492,0.010653644,0.010845973,0.008461188
